GCN Name,Fermi Name,Enclosed Probability,TESS Sector,Trigger,Details,RA,Declination,Error Radius (arcmin),Localization Source,Alt. Local. Cam,Alt. Local. CCD,Alt. Local. Col,Alt. Local. Row,LC,Result
,GRB260112226,0.00000,99,2026-01-12 05:23:39.650,<a href=yr26/GRB260112226.html>details</a>,312.58,-48.53,478.8,"Fermi, GBM              ",,,,,,
,GRB260111690,0.00000,99,2026-01-11 16:30:56.794,<a href=yr26/GRB260111690.html>details</a>,224.69,50.4,159.60000000000002,"Fermi, GBM              ",,,,,,
GRB 260109B,GRB260109362,0.51517,99,2026-01-09 08:39:11.281,<a href=yr26/GRB260109362.html>details</a>,197.53,-73.94,820.8,"Fermi, GBM              ",,,,,,unexamined
GRB 260109A,GRB260109156,0.00003,99,2026-01-09 03:42:06.546,<a href=yr26/GRB260109156.html>details</a>,307.28,-68.98,477.6,"Fermi, GBM              ",,,,,,
GRB 260107A,GRB260107831,0.00000,99,2026-01-07 19:54:50.084,<a href=yr26/GRB260107831.html>details</a>,338.97,2.01,156.6,"Fermi, GBM              ",,,,,,
GRB 260105B,GRB260105973,0.00000,99,2026-01-05 23:19:24.576,<a href=yr26/GRB260105973.html>details</a>,259.71,1.74,121.79999999999998,"Fermi, GBM              ",,,,,,
GRB 260105A,GRB260105949,0.00000,99,2026-01-05 22:44:54.449,<a href=yr26/GRB260105949.html>details</a>,64.54,55.5,199.8,"Fermi, GBM              ",,,,,,
GRB 260104C,GRB260104999,0.00000,98,2026-01-04 23:55:40.711,<a href=yr26/GRB260104999.html>details</a>,312.74,-26.12,556.8,"Fermi, GBM              ",,,,,,
GRB 260104B,GRB260104243,0.62615,98,2026-01-04 05:47:46.548,<a href=yr26/GRB260104243.html>details</a>,72.48,-29.51,776.4,"Fermi, GBM              ",,,,,,unexamined
GRB 260102B,GRB260102883,0.18249,98,2026-01-02 21:09:45.643,<a href=yr26/GRB260102883.html>details</a>,60.66,-67.83,1059.6,"Fermi, GBM              ",,,,,,unexamined
GRB 260101A,GRB260101039,0.00000,98,2026-01-01 00:54:13.944,<a href=yr26/GRB260101039.html>details</a>,86.4274,63.5917,0.0,"Swift, XRT              ",-1,-1,-1,-1,,
